unique_id,ds,LGBMRegressor,XGBRegressor,LinearRegression,LGBMRegressor-lo-95,LGBMRegressor-hi-95,XGBRegressor-lo-95,XGBRegressor-hi-95,LinearRegression-lo-95,LinearRegression-hi-95
1,2024-04-02 23:00:00,455326.78272329684,443325.2,442994.13212182495,435774.4227503208,474879.1426962729,423097.533375,463552.841625,412089.7161623333,473898.5480813166

1,2024-04-03 00:00:00,456295.6101646276,447285.28,445885.71434085415,435270.9073458142,477320.312983441,423600.6195,470969.943,409439.0804639447,482332.3482177636

1,2024-04-03 01:00:00,456204.129442867,454562.62,445744.1519262331,433462.1021686371,478946.1567170969,425336.72778125,483788.52221875,403481.72099360696,488006.5828588592

1,2024-04-03 02:00:00,448126.71800763346,450685.84,442024.2453442349,423259.2552047802,472994.1808104867,417137.06459375,484234.62290625,398099.2534586613,485949.2372298086

1,2024-04-03 03:00:00,430883.6678233182,436923.06,434830.19712665945,402119.34477909777,459647.99086753867,402798.73396875,471047.39103125,395318.4726594338,474341.9215938851

1,2024-04-03 04:00:00,410191.52803465683,419011.56,424863.5213987325,378050.5786642973,442332.47740501637,384639.78009375,453383.34490625,391493.5011527764,458233.5416446886

1,2024-04-03 05:00:00,390838.9343204275,400050.4,413220.67829953984,355845.1536027048,425832.71503815014,365981.99806250003,434118.81443749997,385127.0451177006,441314.31148137915

1,2024-04-03 06:00:00,375843.18712568394,384768.8,401367.4823010633,337966.4161076232,413719.9581437447,349057.44303125,420480.18196875,374302.9599350756,428432.004667051

1,2024-04-03 07:00:00,366407.92925569176,375416.34,391080.139199525,327712.1199710244,405103.73854035913,335916.5191875,414916.1683125,363108.8895625472,419051.3888365028

1,2024-04-03 08:00:00,360984.46184982016,368275.62,384043.80532646447,321899.45794654003,400069.4657531003,327432.49412499997,409118.75587500003,354174.23329396266,413913.3773589663

1,2024-04-03 09:00:00,361489.461333473,367396.3,381329.8317748831,320150.43413528893,402828.488531657,323266.492625,411526.132375,346733.16893786297,415926.49461190327

1,2024-04-03 10:00:00,371958.9809333748,374178.4,383070.66515695455,327821.13779522694,416096.8240715226,326088.95046875,422267.86203125,339779.3275652264,426362.0027486827

1,2024-04-03 11:00:00,391703.3938941704,395430.12,388544.3636626012,342313.32606778824,441093.4617205526,345298.72646875,445561.52353125,327961.82307166845,449126.904253534

1,2024-04-03 12:00:00,411519.9521018486,419283.4,396482.40376783535,359135.915320355,463903.98888334224,367612.20065625,470954.61184375,322811.29329018306,470153.51424548763

